id,rm_start,rm_end,side,site_id,end_site_id,latitude,longitude,section,select,NO_start,NO_end,type,inside_slough,comments
696,0.8,0.91,R,0.8 R,0.91 R,36.85963821,-111.6002045,lower,N,696R,697R,monitoring,,
697,0.91,1.05,R,0.91 R,1.05 R,36.858284,-111.60186,lower,N,697R,698R,monitoring,,
698,-15.73,-15.45,R,-15.73 R,-15.45 R,,,,N,,,nonnative,,below spillway
699,-15.78,-15.5,L,-15.78 L,-15.50 L,,,,N,,,nonnative,,below spillway
700,-14.34,-14.29,L,-14.34 L,-14.29 L,,,,N,,,nonnative,,14 mile spring
701,-14.28,-13.94,L,-14.28 L,-13.94 L,,,,N,,,nonnative,,Rocky_shoreline
702,-13.72,-13.69,R,-13.72 R,-13.69 R,,,,N,,,nonnative,,spring inflow
703,-13.5,-13.49,L,-13.5 L,-13.49 L,,,,N,,,nonnative,,spring inflow
704,-11.02,-10.92,L,-11.02 L,-10.92 L,,,,N,,,nonnative,,below ferry swale bar
705,-10.85,-10.62,L,-10.85 L,-10.62 L,,,,N,,,nonnative,,rocky shoreline 
706,-6.9,-6.85,L,-6.9 L,-6.85 L,,,,N,,,nonnative,,backwater
707,-3.32,-3.29,L,-3.32 L,-3.29 L,,,,N,,,nonnative,,warm spring inflow
708,-1.5,-1.47,L,-1.5 L,-1.47 L,,,,N,,,nonnative,,backwater
709,-12.09,-12.33,L,-12.09 L,-12.33 L,,,,N,,,nonnative,slough,"along shore inside slough, downstream part"
710,-12.33,-12.4,L,-12.33 L,-12.4 L,,,,N,,,nonnative,slough,"along shore inside slough, downstream part"
711,-12.09,-12.33,L,-12.09 L,-12.33 L,,,,N,,,nonnative,slough,along cobble bar inside slough
