"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-03-09,"Glen_Canyon_Dam",-16,NA,8.8625,NA,"spring","2004"
2004-03-09,"LCR",NA,1,18.05,NA,"spring","2004"
2004-03-09,"Lee's_Ferry",0,NA,8.79961805555556,NA,"spring","2004"
2004-03-09,"National",167,NA,10.7579166666667,NA,"spring","2004"
2004-03-09,"Phantom",88,NA,10.3564583333333,NA,"spring","2004"
2004-03-09,"Spencer",246,NA,11.2858823529412,NA,"spring","2004"
2004-03-10,"30-mile",30,NA,9.2,NA,"spring","2004"
2004-03-10,"Above_LCR",61,NA,9.609375,NA,"spring","2004"
2004-03-10,"Below_LCR",66,NA,9.94177083333333,NA,"spring","2004"
2004-03-10,"Diamond",225,NA,11.7390625,NA,"spring","2004"
2004-03-10,"Glen_Canyon_Dam",-16,NA,8.7975,NA,"spring","2004"
2004-03-10,"LCR",NA,1,18.525625,NA,"spring","2004"
2004-03-10,"Lee's_Ferry",0,NA,8.7840625,NA,"spring","2004"
2004-03-10,"National",167,NA,11.2596875,NA,"spring","2004"
2004-03-10,"Phantom",88,NA,10.3403125,NA,"spring","2004"
2004-03-10,"Spencer",246,NA,12.2053333333333,NA,"spring","2004"
2004-03-11,"30-mile",30,NA,9.21541666666667,NA,"spring","2004"
2004-03-11,"Above_LCR",61,NA,9.66114583333333,NA,"spring","2004"
2004-03-11,"Below_LCR",66,NA,9.96479166666667,NA,"spring","2004"
2004-03-11,"Diamond",225,NA,12.02375,NA,"spring","2004"
2004-03-11,"Glen_Canyon_Dam",-16,NA,8.81194444444444,NA,"spring","2004"
2004-03-11,"LCR",NA,1,18.4844791666667,NA,"spring","2004"
2004-03-11,"Lee's_Ferry",0,NA,8.81836805555556,NA,"spring","2004"
2004-03-11,"National",167,NA,11.3258333333333,NA,"spring","2004"
2004-03-11,"Phantom",88,NA,10.2511458333333,NA,"spring","2004"
2004-03-11,"Spencer",246,NA,12.0620833333333,NA,"spring","2004"
2004-03-12,"30-mile",30,NA,9.23791666666667,NA,"spring","2004"
2004-03-12,"Above_LCR",61,NA,9.6715625,NA,"spring","2004"
2004-03-12,"Below_LCR",66,NA,9.9934375,NA,"spring","2004"
2004-03-12,"Diamond",225,NA,12.1491666666667,NA,"spring","2004"
2004-03-12,"Glen_Canyon_Dam",-16,NA,8.84222222222222,NA,"spring","2004"
2004-03-12,"LCR",NA,1,18.64625,NA,"spring","2004"
2004-03-12,"Lee's_Ferry",0,NA,8.82524305555556,NA,"spring","2004"
2004-03-12,"National",167,NA,11.2585416666667,NA,"spring","2004"
2004-03-12,"Phantom",88,NA,10.2867708333333,NA,"spring","2004"
2004-03-12,"Spencer",246,NA,12.3784375,NA,"spring","2004"
2004-03-13,"30-mile",30,NA,9.31583333333333,NA,"spring","2004"
2004-03-13,"Above_LCR",61,NA,9.6996875,NA,"spring","2004"
2004-03-13,"Below_LCR",66,NA,10.00625,NA,"spring","2004"
2004-03-13,"Diamond",225,NA,12.183125,NA,"spring","2004"
2004-03-13,"Glen_Canyon_Dam",-16,NA,8.86611111111111,NA,"spring","2004"
2004-03-13,"LCR",NA,1,19.1121875,NA,"spring","2004"
2004-03-13,"Lee's_Ferry",0,NA,8.9171875,NA,"spring","2004"
2004-03-13,"National",167,NA,11.3844791666667,NA,"spring","2004"
2004-03-13,"Phantom",88,NA,10.2927083333333,NA,"spring","2004"
2004-03-13,"Spencer",246,NA,12.4657291666667,NA,"spring","2004"
2004-03-14,"30-mile",30,NA,9.38427083333333,NA,"spring","2004"
2004-03-14,"Above_LCR",61,NA,9.818125,NA,"spring","2004"
2004-03-14,"Below_LCR",66,NA,10.1216666666667,NA,"spring","2004"
2004-03-14,"Diamond",225,NA,12.256875,NA,"spring","2004"
2004-03-14,"Glen_Canyon_Dam",-16,NA,8.84944444444444,NA,"spring","2004"
2004-03-14,"LCR",NA,1,18.6916666666667,NA,"spring","2004"
2004-03-14,"Lee's_Ferry",0,NA,8.83755458515284,NA,"spring","2004"
2004-03-14,"National",167,NA,11.3966666666667,NA,"spring","2004"
2004-03-14,"Phantom",88,NA,10.3885416666667,NA,"spring","2004"
2004-03-14,"Spencer",246,NA,12.46375,NA,"spring","2004"
2004-03-15,"30-mile",30,NA,9.4215625,NA,"spring","2004"
2004-03-15,"Above_LCR",61,NA,9.99395833333333,NA,"spring","2004"
2004-03-15,"Below_LCR",66,NA,10.3982291666667,NA,"spring","2004"
2004-03-15,"Diamond",225,NA,12.2348958333333,NA,"spring","2004"
2004-03-15,"Glen_Canyon_Dam",-16,NA,8.84541666666667,NA,"spring","2004"
