"date","site.name","temp.c.daily","rkm"
2004-01-13,"phantom",9.30791666666667,167.05
2004-01-13,"rm30",9.16072916666667,73.71
2004-01-14,"aboveLCR",9.06041666666667,123.6
2004-01-14,"belowLCR",9.24052083333333,131.64
2004-01-14,"diamond",9.59802083333333,387.53
2004-01-14,"glencanyondam",9.51638888888889,-0.32
2004-01-14,"LCR",15.2525694444444,NA
2004-01-14,"leesferry",9.17569444444444,25.43
2004-01-14,"national",9.470625,294.19
2004-01-14,"phantom",9.3103125,167.05
2004-01-14,"rm30",9.1109375,73.71
2004-01-15,"aboveLCR",9.06333333333333,123.6
2004-01-15,"belowLCR",9.23791666666667,131.64
2004-01-15,"diamond",9.67520833333333,387.53
2004-01-15,"glencanyondam",9.4735593220339,-0.32
2004-01-15,"LCR",15.5736111111111,NA
2004-01-15,"leesferry",9.23754716981132,25.43
2004-01-15,"national",9.50822916666667,294.19
2004-01-15,"phantom",9.24958333333333,167.05
2004-01-15,"rm30",9.1265625,73.71
2004-01-16,"aboveLCR",9.14489583333333,123.6
2004-01-16,"belowLCR",9.29604166666667,131.64
2004-01-16,"diamond",9.72916666666667,387.53
2004-01-16,"glencanyondam",9.43272727272727,-0.32
2004-01-16,"LCR",15.1047916666667,NA
2004-01-16,"leesferry",9.09666666666667,25.43
2004-01-16,"national",9.49729166666667,294.19
2004-01-16,"phantom",9.28197916666667,167.05
2004-01-16,"rm30",9.15229166666667,73.71
2004-01-17,"aboveLCR",9.1228125,123.6
2004-01-17,"belowLCR",9.3190625,131.64
2004-01-17,"diamond",9.65177083333333,387.53
2004-01-17,"glencanyondam",9.40611111111111,-0.32
2004-01-17,"LCR",14.7115972222222,NA
2004-01-17,"leesferry",9.08638888888889,25.43
2004-01-17,"national",9.4875,294.19
2004-01-17,"phantom",9.4084375,167.05
2004-01-17,"rm30",9.01635416666667,73.71
2004-01-18,"aboveLCR",8.98583333333333,123.6
2004-01-18,"belowLCR",9.15,131.64
2004-01-18,"diamond",9.601875,387.53
2004-01-18,"glencanyondam",9.35597222222222,-0.32
2004-01-18,"LCR",14.6123611111111,NA
2004-01-18,"leesferry",8.98722222222222,25.43
2004-01-18,"national",9.47166666666667,294.19
2004-01-18,"phantom",9.18427083333333,167.05
2004-01-18,"rm30",8.99479166666667,73.71
2004-01-19,"aboveLCR",8.965,123.6
2004-01-19,"belowLCR",9.15760416666667,131.64
2004-01-19,"diamond",9.62458333333333,387.53
2004-01-19,"glencanyondam",9.3125,-0.32
2004-01-19,"LCR",14.7161111111111,NA
2004-01-19,"leesferry",9.01972222222222,25.43
2004-01-19,"national",9.46916666666667,294.19
2004-01-19,"phantom",9.2446875,167.05
2004-01-19,"rm30",8.95697916666667,73.71
2004-01-20,"aboveLCR",9.05979166666667,123.6
2004-01-20,"belowLCR",9.23572916666667,131.64
2004-01-20,"diamond",9.72125,387.53
2004-01-20,"glencanyondam",9.25430555555556,-0.32
2004-01-20,"LCR",15.7095138888889,NA
2004-01-20,"leesferry",9.11902777777778,25.43
2004-01-20,"national",9.51052083333333,294.19
2004-01-20,"phantom",9.20020833333333,167.05
2004-01-20,"rm30",9.10854166666667,73.71
2004-01-21,"aboveLCR",9.20697916666667,123.6
2004-01-21,"belowLCR",9.3890625,131.64
2004-01-21,"diamond",9.6809375,387.53
2004-01-21,"glencanyondam",9.17236111111111,-0.32
2004-01-21,"LCR",15.6241666666667,NA
2004-01-21,"leesferry",8.95472222222222,25.43
2004-01-21,"national",9.575,294.19
2004-01-21,"phantom",9.36072916666667,167.05
2004-01-21,"rm30",9.14583333333333,73.71
2004-01-22,"aboveLCR",9.04322916666667,123.6
2004-01-22,"belowLCR",9.23791666666667,131.64
2004-01-22,"diamond",9.68822916666667,387.53
2004-01-22,"glencanyondam",9.13875,-0.32
2004-01-22,"LCR",15.0182638888889,NA
2004-01-22,"leesferry",8.83555555555555,25.43
2004-01-22,"national",9.505,294.19
2004-01-22,"phantom",9.34635416666667,167.05
2004-01-22,"rm30",8.86916666666667,73.71
2004-01-23,"aboveLCR",8.75895833333333,123.6
2004-01-23,"belowLCR",8.93770833333333,131.64
2004-01-23,"diamond",9.56802083333333,387.53
2004-01-23,"glencanyondam",9.14722222222222,-0.32
2004-01-23,"LCR",14.5602083333333,NA
2004-01-23,"leesferry",8.785,25.43
2004-01-23,"national",9.48072916666667,294.19
2004-01-23,"phantom",9.03416666666667,167.05
2004-01-23,"rm30",8.73875,73.71
2004-01-24,"aboveLCR",8.70375,123.6
2004-01-24,"belowLCR",8.88666666666667,131.64
2004-01-24,"diamond",9.583125,387.53
2004-01-24,"glencanyondam",9.10680555555555,-0.32
2004-01-24,"LCR",14.8122916666667,NA
2004-01-24,"leesferry",8.76791666666667,25.43
2004-01-24,"national",9.29739583333333,294.19
2004-01-24,"phantom",8.9321875,167.05
2004-01-24,"rm30",8.72197916666667,73.71
2004-01-25,"aboveLCR",8.81385416666667,123.6
2004-01-25,"belowLCR",9.00645833333333,131.64
2004-01-25,"diamond",9.58989583333333,387.53
2004-01-25,"glencanyondam",9.11833333333333,-0.32
2004-01-25,"LCR",15.4713194444444,NA
2004-01-25,"leesferry",8.82361111111111,25.43
2004-01-25,"national",9.1996875,294.19
2004-01-25,"phantom",8.98791666666667,167.05
2004-01-25,"rm30",8.79260416666667,73.71
2004-01-26,"aboveLCR",8.5184375,123.6
2004-01-26,"belowLCR",8.67135416666667,131.64
2004-01-26,"diamond",9.20583333333333,387.53
2004-01-26,"glencanyondam",9.01458333333333,-0.32
2004-01-26,"LCR",13.0213194444444,NA
2004-01-26,"leesferry",8.54652777777778,25.43
2004-01-26,"national",8.97854166666667,294.19
2004-01-26,"phantom",8.69739583333333,167.05
2004-01-26,"rm30",8.49197916666667,73.71
2004-01-27,"aboveLCR",8.2871875,123.6
2004-01-27,"belowLCR",8.43375,131.64
