OBJECTID,UNIT,SHORE_LEN,HABITAT,KM,SIDE,UNPADDED_STATION_ID,UP_KM,DOWN_KM,LON_SH_ST,LAT_SH_ST,LON_SH_EN,LAT_SH_EN,LON_CL_ST,LAT_CL_ST,LON_CL_EN,LAT_CL_EN,STATION_TYPE,AGF_LEGACY_NAME,SHAPE,STATION_ID,UP_RM,DOWN_RM,RIVER_CODE
10801,,,,92.22,L,S41.47L,,,-111.8818878,36.40076762,,,,,,,46,402L,402,S+041.47L,,41.47,COR
10802,,,,92.38,R,S41.57R,,,-111.8837187,36.39957203,,,,,,,46,980R,980,S+041.57R,,41.57,COR
10803,,,,92.48,L,S41.63L,,,-111.8822283,36.39858941,,,,,,,46,403L,403,S+041.63L,,41.63,COR
10804,,,,92.57,R,S41.69R,,,-111.8829976,36.39780954,,,,,,,46,981R,981,S+041.69R,,41.69,COR
10805,,,,92.73,L,S41.79L,,,-111.8818136,36.39647547,,,,,,,46,404L,404,S+041.79L,,41.79,COR
10806,,,,92.76,R,S41.80R,,,-111.8829465,36.39591676,,,,,,,46,982R,982,S+041.80R,,41.8,COR
10807,,,,92.96,R,S41.93R,,,-111.8813983,36.39427119,,,,,,,46,983R,983,S+041.93R,,41.93,COR
10808,,,,93.01,L,S41.96L,,,-111.8803485,36.39467668,,,,,,,46,405L,405,S+041.96L,,41.96,COR
10809,,,,93.19,R,S42.07R,,,-111.8792329,36.39316684,,,,,,,46,984R,984,S+042.07R,,42.07,COR
10810,,,,93.25,L,S42.11L,,,-111.8781561,36.39347395,,,,,,,46,406L,406,S+042.11L,,42.11,COR
10811,,,,93.41,R,S42.21R,,,-111.8769126,36.39222367,,,,,,,46,985R,985,S+042.21R,,42.21,COR
10812,,,,93.48,L,S42.25L,,,-111.8759043,36.39284244,,,,,,,46,407L,407,S+042.25L,,42.25,COR
10813,,,,93.64,R,S42.35R,,,-111.8742122,36.39190075,,,,,,,46,986R,986,S+042.35R,,42.35,COR
10814,,,,93.73,L,S42.41L,,,-111.8732212,36.39272057,,,,,,,46,408L,408,S+042.41L,,42.41,COR
10815,,,,93.87,R,S42.49R,,,-111.871503,36.39200952,,,,,,,46,987R,987,S+042.49R,,42.49,COR
10816,,,,93.99,L,S42.57L,,,-111.8705828,36.3932586,,,,,,,46,409L,409,S+042.57L,,42.57,COR
10817,,,,94.11,R,S42.64R,,,-111.8689398,36.39282804,,,,,,,46,988R,988,S+042.64R,,42.64,COR
10818,,,,94.24,L,S42.72L,,,-111.8680799,36.3940966,,,,,,,46,410L,410,S+042.72L,,42.72,COR
10819,,,,94.36,R,S42.80R,,,-111.8663757,36.39364146,,,,,,,46,989R,989,S+042.80R,,42.8,COR
10820,,,,94.49,L,S42.88L,,,-111.8655929,36.39503531,,,,,,,46,411L,411,S+042.88L,,42.88,COR
10821,,,,94.6,R,S42.95R,,,-111.863932,36.39465231,,,,,,,46,990R,990,S+042.95R,,42.95,COR
10822,,,,94.73,L,S43.03L,,,-111.863165,36.39605704,,,,,,,46,412L,412,S+043.03L,,43.03,COR
10823,,,,94.85,R,S43.10R,,,-111.8614751,36.39559723,,,,,,,46,991R,991,S+043.10R,,43.1,COR
10824,,,,94.97,L,S43.18L,,,-111.8606406,36.39691285,,,,,,,46,413L,413,S+043.18L,,43.18,COR
10825,,,,95.11,R,S43.26R,,,-111.8589436,36.3964706,,,,,,,46,992R,992,S+043.26R,,43.26,COR
10826,,,,95.19,L,S43.32L,,,-111.8581241,36.39740248,,,,,,,46,414L,414,S+043.32L,,43.32,COR
10827,,,,95.36,R,S43.42R,,,-111.8562215,36.39668863,,,,,,,46,993R,993,S+043.42R,,43.42,COR
10828,,,,95.39,L,S43.44L,,,-111.8556866,36.39757722,,,,,,,46,415L,415,S+043.44L,,43.44,COR
10829,,,,95.58,R,S43.56R,,,-111.8537961,36.39619712,,,,,,,46,994R,994,S+043.56R,,43.56,COR
10830,,,,95.61,L,S43.58L,,,-111.8533993,36.39687201,,,,,,,46,416L,416,S+043.58L,,43.58,COR
10831,,,,95.79,L,S43.68L,,,-111.8511866,36.39714817,,,,,,,46,417L,417,S+043.68L,,43.68,COR
10832,,,,95.83,R,S43.71R,,,-111.8514411,36.39565903,,,,,,,46,995R,995,S+043.71R,,43.71,COR
10833,,,,95.96,L,S43.79L,,,-111.84953,36.3956664,,,,,,,46,418L,418,S+043.79L,,43.79,COR
10834,,,,96.09,R,S43.87R,,,-111.8494326,36.39421354,,,,,,,46,996R,996,S+043.87R,,43.87,COR
10835,,,,96.18,L,S43.93L,,,-111.8481053,36.39390076,,,,,,,46,419L,419,S+043.93L,,43.93,COR
10836,,,,96.33,R,S44.02R,,,-111.8482083,36.39232287,,,,,,,46,997R,997,S+044.02R,,44.02,COR
10837,,,,96.37,L,S44.05L,,,-111.8469511,36.39252368,,,,,,,46,420L,420,S+044.05L,,44.05,COR
10838,,,,96.55,L,S44.16L,,,-111.8464626,36.39074057,,,,,,,46,421L,421,S+044.16L,,44.16,COR
10839,,,,96.61,R,S44.20R,,,-111.8477886,36.39031916,,,,,,,46,998R,998,S+044.20R,,44.2,COR
10840,,,,96.77,L,S44.29L,,,-111.8471374,36.38869713,,,,,,,46,422L,422,S+044.29L,,44.29,COR
10841,,,,96.87,R,S44.36R,,,-111.8484063,36.3885449,,,,,,,46,999R,999,S+044.36R,,44.36,COR
10842,,,,96.98,L,S44.43L,,,-111.849036,36.38752447,,,,,,,46,423L,423,S+044.43L,,44.43,COR
10843,,,,97.05,R,S44.47R,,,-111.8500269,36.38736458,,,,,,,46,1000R,1000,S+044.47R,,44.47,COR
10844,,,,97.21,L,S44.56L,,,-111.8499369,36.38560655,,,,,,,46,424L,424,S+044.56L,,44.56,COR
10845,,,,97.3,R,S44.63R,,,-111.8517665,36.38571922,,,,,,,46,1001R,1001,S+044.63R,,44.63,COR
10846,,,,97.4,L,S44.69L,,,-111.8521994,36.38449099,,,,,,,46,425L,425,S+044.69L,,44.69,COR
10847,,,,97.57,R,S44.79R,,,-111.8543646,36.38533823,,,,,,,46,1002R,1002,S+044.79R,,44.79,COR
10848,,,,97.58,L,S44.80L,,,-111.8545033,36.38483371,,,,,,,46,426L,426,S+044.80L,,44.8,COR
10849,,,,97.8,L,S44.93L,,,-111.8568006,36.38396487,,,,,,,46,427L,427,S+044.93L,,44.93,COR
10850,,,,97.8,R,S44.94R,,,-111.8570326,36.38504896,,,,,,,46,1003R,1003,S+044.94R,,44.94,COR
10851,,,,97.98,L,S45.05L,,,-111.8589058,36.38423518,,,,,,,46,428L,428,S+045.05L,,45.05,COR
10852,,,,98.04,R,S45.09R,,,-111.85969,36.38470683,,,,,,,46,1004R,1004,S+045.09R,,45.09,COR
10853,,,,98.21,L,S45.19L,,,-111.8607859,36.38311229,,,,,,,46,429L,429,S+045.19L,,45.19,COR
10854,,,,98.28,R,S45.23R,,,-111.8621747,36.38384934,,,,,,,46,1005R,1005,S+045.23R,,45.23,COR
10855,,,,98.42,L,S45.32L,,,-111.8632152,36.38268921,,,,,,,46,430L,430,S+045.32L,,45.32,COR
10856,,,,98.53,R,S45.39R,,,-111.8647672,36.3831162,,,,,,,46,1006R,1006,S+045.39R,,45.39,COR
10857,,,,98.65,L,S45.47L,,,-111.8656675,36.38183875,,,,,,,46,431L,431,S+045.47L,,45.47,COR
10858,,,,98.77,R,S45.54R,,,-111.8671381,36.38234828,,,,,,,46,1007R,1007,S+045.54R,,45.54,COR
10859,,,,98.86,L,S45.60L,,,-111.8680191,36.38128755,,,,,,,46,432L,432,S+045.60L,,45.6,COR
10860,,,,99.01,R,S45.69R,,,-111.8698377,36.38210543,,,,,,,46,1008R,1008,S+045.69R,,45.69,COR
10861,,,,99.08,L,S45.73L,,,-111.8703658,36.38108764,,,,,,,46,433L,433,S+045.73L,,45.73,COR
10862,,,,99.25,R,S45.84R,,,-111.8724818,36.3815913,,,,,,,46,1009R,1009,S+045.84R,,45.84,COR
10863,,,,99.31,L,S45.88L,,,-111.8729804,36.38080923,,,,,,,46,434L,434,S+045.88L,,45.88,COR
10864,,,,99.45,R,S45.96R,,,-111.8746902,36.38121387,,,,,,,46,1010R,1010,S+045.96R,,45.96,COR
10865,,,,99.56,L,S46.03L,,,-111.8755611,36.38018558,,,,,,,46,435L,435,S+046.03L,,46.03,COR
10866,,,,99.68,R,S46.10R,,,-111.8771537,36.38068561,,,,,,,46,1011R,1011,S+046.10R,,46.1,COR
10867,,,,99.75,L,S46.15L,,,-111.8773284,36.37951101,,,,,,,46,436L,436,S+046.15L,,46.15,COR
10868,,,,99.91,R,S46.24R,,,-111.8795045,36.37994107,,,,,,,46,1012R,1012,S+046.24R,,46.24,COR
10869,,,,99.98,L,S46.29L,,,-111.8799547,36.37890383,,,,,,,46,437L,437,S+046.29L,,46.29,COR
10870,,,,100.13,R,S46.38R,,,-111.8817802,36.37934886,,,,,,,46,1013R,1013,S+046.38R,,46.38,COR
10871,,,,100.23,L,S46.44L,,,-111.8825119,36.37819357,,,,,,,46,438L,438,S+046.44L,,46.44,COR
10872,,,,100.36,R,S46.53R,,,-111.884275,36.37853631,,,,,,,46,1014R,1014,S+046.53R,,46.53,COR
10873,,,,100.48,L,S46.60L,,,-111.8850625,36.37738879,,,,,,,46,439L,439,S+046.60L,,46.6,COR
10874,,,,100.6,R,S46.67R,,,-111.8867554,36.37774257,,,,,,,46,1015R,1015,S+046.67R,,46.67,COR
10875,,,,100.73,L,S46.75L,,,-111.8874992,36.37639739,,,,,,,46,440L,440,S+046.75L,,46.75,COR
10876,,,,100.83,R,S46.82R,,,-111.8890588,36.37659172,,,,,,,46,1016R,1016,S+046.82R,,46.82,COR
10877,,,,101,L,S46.92L,,,-111.8892774,36.37483857,,,,,,,46,441L,441,S+046.92L,,46.92,COR
10878,,,,101.04,R,S46.95R,,,-111.8902419,36.37479958,,,,,,,46,1017R,1017,S+046.95R,,46.95,COR
10879,,,,101.21,L,S47.06L,,,-111.89052,36.3731611,,,,,,,46,442L,442,S+047.06L,,47.06,COR
10880,,,,101.25,R,S47.08R,,,-111.8914064,36.37310936,,,,,,,46,1018R,1018,S+047.08R,,47.08,COR
10881,,,,101.45,R,S47.20R,,,-111.8921196,36.37110189,,,,,,,46,1019R,1019,S+047.20R,,47.2,COR
